Date,Price,Open,High,Low,Vol.,Change %
2022-01-19,41677.8,42365.3,42558.0,41160.9,53.77,-1.62
2022-01-20,40715.9,41683.6,43487.1,40568.3,65.28,-2.31
2022-01-21,36475.5,40698.1,41104.6,35503.9,155.8,-10.41
2022-01-22,35075.2,36467.7,36749.8,34116.0,138.09,-3.84
2022-01-23,36269.5,35072.9,36513.0,34655.2,70.43,3.4
2022-01-24,36686.3,36268.6,37424.0,32985.6,153.77,1.15
2022-01-25,36950.6,36691.3,37501.8,35729.3,79.68,0.72
2022-01-26,36800.4,36962.3,38862.6,36280.0,107.87,-0.41
2022-01-27,37164.3,36800.1,37215.4,35543.2,83.52,0.99
2022-01-28,37745.1,37195.6,37995.9,36176.5,69.45,1.56
2022-01-29,38170.8,37736.5,38663.7,37350.2,42.77,1.13
2022-01-30,37917.7,38167.5,38313.3,37390.6,34.1,-0.66
2022-01-31,38498.6,37923.8,38701.4,36672.8,61.27,1.53
2022-02-01,38709.7,38475.6,39230.0,38037.9,55.2,0.55
2022-02-02,36890.2,38711.2,38853.8,36682.3,53.74,-4.7
2022-02-03,37287.8,36890.2,37304.3,36297.3,50.35,1.08
2022-02-04,41567.6,37287.8,41689.0,37041.1,95.49,11.48
2022-02-05,41412.1,41566.5,41899.8,40963.3,46.32,-0.37
2022-02-06,42392.2,41411.9,42614.8,41176.3,31.2,2.37
2022-02-07,43833.9,42385.2,44468.3,41695.4,76.6,3.4
2022-02-08,44038.2,43833.9,45399.8,42705.0,92.88,0.47
2022-02-09,44388.9,44038.2,44800.4,43163.0,50.92,0.8
2022-02-10,43521.0,44388.9,45755.2,43242.5,89.69,-1.96
2022-02-11,42388.4,43519.3,43915.1,42023.4,69.95,-2.6
2022-02-12,42205.2,42388.4,43006.4,41776.8,37.88,-0.43
2022-02-13,42061.1,42205.5,42725.1,41880.1,25.88,-0.34
2022-02-14,42550.3,42061.1,42799.7,41591.3,53.6,1.16
2022-02-15,44544.4,42550.3,44722.6,42460.1,56.34,4.69
2022-02-16,43883.6,44540.9,44552.9,43377.6,41.4,-1.48
2022-02-17,40552.8,43885.5,44167.1,40103.8,72.63,-7.59
2022-02-18,40000.1,40532.5,40935.5,39505.0,64.96,-1.36
2022-02-19,40090.3,40000.1,40434.3,39666.6,25.78,0.23
2022-02-20,38355.0,40089.6,40120.3,38042.2,47.92,-4.33
2022-02-21,37017.7,38355.0,39444.1,36868.9,91.82,-3.49
2022-02-22,38248.2,37018.3,38414.9,36399.6,82.75,3.32
2022-02-23,37224.6,38248.2,39194.5,37099.5,64.84,-2.68
2022-02-24,38339.2,37250.2,39351.6,34357.4,180.47,2.99
2022-02-25,39209.6,38339.2,39683.7,38042.6,83.78,2.27
2022-02-26,39115.5,39221.6,40094.5,38639.1,41.55,-0.24
2022-02-27,37689.1,39116.6,39838.5,37062.3,66.14,-3.65
2022-02-28,43188.2,37707.2,43977.8,37458.9,108.07,14.59
2022-03-01,44420.3,43187.2,44900.5,42876.6,90.67,2.85
2022-03-02,43912.8,44420.3,45294.2,43361.3,80.82,-1.14
2022-03-03,42463.0,43912.8,44077.2,41840.8,74.11,-3.3
2022-03-04,39142.7,42463.0,42848.7,38594.9,3.21,-7.82
2022-03-05,39395.8,39142.8,39600.2,38626.1,1.5,0.65
2022-03-06,38403.1,39396.3,39668.1,38115.0,1.93,-2.52
2022-03-07,38024.8,38420.6,39532.0,37182.1,3.02,-0.99
2022-03-08,38744.8,38020.6,39351.5,37886.6,2.67,1.89
2022-03-09,41929.0,38731.5,42538.5,38663.3,3.6,8.22
2022-03-10,39416.3,41933.9,42029.1,38603.5,3.62,-5.99
2022-03-11,38730.2,39422.5,40177.0,38236.4,2.79,-1.74
2022-03-12,38814.3,38730.2,39355.3,38666.5,1.11,0.22
2022-03-13,37792.4,38813.2,39272.3,37603.4,1.55,-2.63
2022-03-14,39671.1,37789.5,39914.3,37613.6,2.33,4.97
2022-03-15,39285.7,39673.0,39854.7,38220.9,2.25,-0.97
2022-03-16,41118.7,39282.5,41701.6,38953.2,4.47,4.67
2022-03-17,40914.8,41118.7,41406.0,40557.8,1.9,-0.5
2022-03-18,41767.8,40914.6,42308.4,40234.8,2.31,2.08
2022-03-19,42233.0,41768.0,42386.0,41529.6,224.59,1.11
2022-03-20,41276.0,42241.0,42301.0,40922.0,308.45,-2.27
2022-03-21,41022.0,41282.0,41532.0,40530.0,406.62,-0.62
2022-03-22,42373.0,41022.0,43327.9,40893.0,537.06,3.29
2022-03-23,42912.0,42373.0,43027.0,41795.0,433.96,1.27
2022-03-24,44013.0,42911.0,44251.0,42658.0,491.66,2.57
2022-03-25,44331.0,44013.0,45112.0,43622.0,494.09,0.72
2022-03-26,44548.0,44331.0,44818.0,44090.0,196.3,0.49
2022-03-27,46859.0,44542.0,46947.0,44445.0,388.79,5.19
2022-03-28,47105.0,46859.0,48199.0,46672.0,610.27,0.52
2022-03-29,47449.0,47126.0,48127.0,47029.0,478.82,0.73
2022-03-30,47075.0,47449.0,47714.0,46601.0,467.76,-0.79
2022-03-31,45525.0,47071.0,47624.0,45228.0,520.0,-3.29
2022-04-01,46297.0,45529.0,46728.0,44261.0,632.93,1.7
2022-04-02,45811.0,46299.0,47212.0,45641.0,345.93,-1.05
2022-04-03,46407.0,45813.0,47435.0,45554.0,398.86,1.3
2022-04-04,46629.0,46407.0,46899.0,45152.0,446.12,0.48
2022-04-05,45506.0,46614.0,47201.0,45388.0,421.11,-2.41
2022-04-06,43173.0,45494.0,45519.0,43122.0,649.52,-5.13
2022-04-07,43448.0,43166.0,43893.0,42747.0,390.85,0.64
2022-04-08,42275.0,43450.0,43979.0,42113.0,467.83,-2.7
2022-04-09,42767.0,42275.0,42809.0,42129.0,165.16,1.16
2022-04-10,42138.0,42760.0,43421.0,41884.0,255.83,-1.47
2022-04-11,39497.0,42144.0,42418.0,39202.0,608.38,-6.27
2022-04-12,40078.0,39507.0,40678.0,39265.0,468.27,1.47
2022-04-13,41133.0,40072.0,41515.0,39581.0,406.7,2.63
2022-04-14,39936.0,41133.0,41494.0,39585.0,294.29,-2.91
2022-04-15,40560.0,39936.0,40850.0,39781.0,233.09,1.56
2022-04-16,40382.0,40571.0,40691.0,40003.0,151.31,-0.44
2022-04-17,39703.0,40382.0,40599.0,39561.0,210.01,-1.68
2022-04-18,40803.0,39700.0,41095.0,38577.0,484.26,2.77
2022-04-19,41503.0,40809.0,41746.0,40585.0,268.28,1.72
2022-04-20,41368.0,41499.0,42203.0,40915.0,382.84,-0.33
2022-04-21,40482.0,41370.0,42969.0,39793.0,493.05,-2.14
2022-04-22,39709.0,40487.0,40792.0,39200.0,421.3,-1.91
2022-04-23,39418.0,39709.0,39973.0,39291.0,190.6,-0.73
2022-04-24,39464.0,39434.0,39929.0,39033.0,283.63,0.12
2022-04-25,40427.0,39464.0,40599.0,38233.0,654.6,2.44
2022-04-26,38113.0,40443.0,40770.0,37708.0,681.47,-5.72
2022-04-27,39243.0,38113.0,39447.0,37869.0,426.83,2.96
2022-04-28,39748.0,39243.0,40382.0,38888.0,542.39,1.29
2022-04-29,38581.0,39748.0,39919.0,38175.0,382.9,-2.94
2022-04-30,37650.0,38590.0,38776.0,37596.0,248.22,-2.41
2022-05-01,38461.0,37642.0,38676.0,37397.0,276.99,2.15
2022-05-02,38514.0,38472.0,39134.0,38061.0,580.79,0.14
2022-05-03,37718.0,38515.0,38647.0,37513.0,367.21,-2.07
2022-05-04,39688.0,37717.0,40021.0,37660.0,691.49,5.22
2022-05-05,36544.0,39686.0,39833.0,36183.0,1.04,-7.92
2022-05-06,36009.0,36540.0,36646.0,35267.0,752.84,-1.46
2022-05-07,35468.0,36003.0,36119.0,34773.0,288.86,-1.5
2022-05-08,34060.0,35468.0,35497.0,33727.0,671.05,-3.97
2022-05-09,30095.0,34041.0,34227.0,30095.0,268.09,-11.64
2022-05-10,31007.5,30098.2,32621.2,29831.0,235.61,3.03
2022-05-11,29068.2,31008.0,32113.6,27835.5,296.9,-6.25
2022-05-12,28976.0,29073.4,30136.7,26500.5,309.48,-0.32
2022-05-13,29284.4,28994.3,31002.7,28755.0,141.23,1.06
2022-05-14,30080.4,29285.2,30277.4,28666.7,70.46,2.72
2022-05-15,31308.7,30078.6,31383.8,29499.4,65.44,4.08
2022-05-16,29849.0,31308.3,31312.4,29135.8,100.25,-4.66
2022-05-17,30437.5,29856.7,30720.1,29484.5,79.63,1.97
2022-05-18,28683.7,30437.5,30687.9,28648.1,92.03,-5.76
2022-05-19,30305.9,28700.4,30525.1,28682.1,101.38,5.66
2022-05-20,29178.6,30305.9,30735.1,28738.5,98.78,-3.72
2022-05-21,29434.6,29188.7,29623.2,28953.9,32.27,0.88
2022-05-22,30286.6,29433.0,30462.0,29260.1,50.6,2.89
2022-05-23,29093.3,30287.3,30644.8,28913.6,92.1,-3.94
2022-05-24,29648.7,29091.6,29810.8,28706.1,79.42,1.91
2022-05-25,29540.6,29648.7,30202.3,29353.5,78.85,-0.36
2022-05-26,29203.5,29537.9,29868.9,28077.9,126.71,-1.14
2022-05-27,28601.2,29194.0,29377.1,28282.2,116.41,-2.06
2022-05-28,29027.1,28620.1,29194.4,28537.2,43.87,1.49
2022-05-29,29465.2,29027.1,29556.5,28838.7,36.87,1.51
2022-05-30,31723.3,29465.2,32185.6,29307.2,129.56,7.66
2022-05-31,31793.4,31730.2,32377.5,31221.2,86.6,0.22
2022-06-01,29798.5,31793.1,31969.9,29396.6,135.09,-6.27
2022-06-02,30455.5,29798.6,30638.5,29604.4,81.4,2.2
2022-06-03,29700.9,30455.7,30674.8,29330.8,72.13,-2.48
2022-06-04,29864.3,29700.9,29963.8,29489.5,33.51,0.55
2022-06-05,29913.0,29865.1,30166.9,29539.0,30.33,0.16
2022-06-06,31367.6,29911.2,31753.4,29888.6,94.01,4.86
2022-06-07,31128.8,31370.3,31556.6,29235.0,140.32,-0.76
2022-06-08,30201.6,31127.2,31312.1,29874.8,87.96,-2.98
2022-06-09,30097.8,30202.1,30691.4,29953.8,61.72,-0.34
2022-06-10,29083.3,30097.4,30325.6,28884.9,104.26,-3.37
2022-06-11,28403.4,29083.3,29426.6,28161.8,82.92,-2.34
2022-06-12,26606.3,28404.0,28534.8,26606.3,120.02,-6.33
2022-06-13,22448.0,26606.3,26857.6,22006.3,379.26,-15.63
2022-06-14,22157.3,22449.1,23200.3,20860.9,251.01,-1.29
2022-06-15,22577.9,22137.5,22754.4,20125.8,280.41,1.9
2022-06-16,20386.6,22577.9,22942.1,20231.1,144.0,-9.71
2022-06-17,20444.6,20391.3,21315.4,20244.1,136.27,0.28
2022-06-18,18986.5,20446.4,20744.7,17630.5,267.25,-7.13
2022-06-19,20577.2,18983.4,20763.5,17983.7,169.39,8.38
2022-06-20,20572.3,20576.9,20996.8,19658.8,140.6,-0.02
2022-06-21,20720.4,20571.6,21689.3,20371.7,136.32,0.72
2022-06-22,19965.8,20720.2,20864.3,19780.2,125.94,-3.64
2022-06-23,21100.7,19967.3,21189.8,19907.5,110.7,5.68
2022-06-24,21226.9,21100.9,21488.7,20743.9,104.56,0.6
2022-06-25,21489.9,21226.9,21553.4,20917.5,66.63,1.24
2022-06-26,21043.5,21489.9,21837.4,20989.7,67.21,-2.08
2022-06-27,20730.2,21037.7,21497.5,20568.0,84.69,-1.49
2022-06-28,20278.0,20727.9,21200.2,20210.5,83.83,-2.18
2022-06-29,20111.3,20278.0,20415.8,19880.7,98.97,-0.82
2022-06-30,19926.6,20111.3,20155.1,18682.7,127.73,-0.92
2022-07-01,19262.9,19926.6,20785.6,18980.1,150.18,-3.33
2022-07-02,19243.2,19275.4,19425.4,19006.4,58.57,-0.1
2022-07-03,19309.9,19243.4,19626.4,18794.4,65.27,0.35
2022-07-04,20215.8,19310.6,20303.8,19052.5,92.79,4.69
2022-07-05,20200.6,20215.8,20706.9,19315.4,122.43,-0.08
2022-07-06,20561.1,20180.4,20654.9,19785.3,105.24,1.78
2022-07-07,21637.8,20557.9,21817.8,20282.7,115.81,5.24
2022-07-08,21611.2,21637.1,22482.1,21207.0,439.9,-0.12
2022-07-09,21587.5,21610.4,21944.1,21338.4,190.11,-0.11
2022-07-10,20847.4,21587.4,21599.2,20689.7,204.68,-3.43
2022-07-11,19963.2,20847.2,20855.0,19897.0,160.2,-4.24
2022-07-12,19330.9,19963.2,20051.7,19279.6,167.91,-3.17
2022-07-13,20250.0,19331.6,20250.8,18942.2,249.38,4.75
2022-07-14,20586.0,20250.0,20862.2,19664.9,205.28,1.66
2022-07-15,20825.1,20586.1,21178.1,20393.4,164.67,1.16
2022-07-16,21209.9,20825.2,21561.3,20484.4,136.89,1.85
2022-07-17,20785.6,21209.8,21654.4,20755.2,132.81,-2.0
2022-07-18,22525.8,20785.6,22714.9,20770.6,279.72,8.37
2022-07-19,23410.2,22529.3,23757.3,21581.8,308.91,3.93
2022-07-20,23215.2,23412.0,24258.0,22944.4,281.31,-0.83
2022-07-21,23153.0,23219.9,23403.8,22360.2,217.08,-0.27
2022-07-22,22675.2,23150.0,23741.4,22524.2,197.54,-2.06
2022-07-23,22460.4,22683.6,22991.0,21971.7,137.42,-0.95
2022-07-24,22582.1,22449.8,22987.9,22281.3,126.66,0.54
2022-07-25,21301.9,22582.3,22653.3,21275.4,206.93,-5.67
2022-07-26,21248.7,21301.6,21322.3,20737.3,201.57,-0.25
2022-07-27,22958.3,21248.0,23027.8,21047.5,242.66,8.05
2022-07-28,23850.0,22957.7,24190.5,22611.6,268.32,3.88
2022-07-29,23774.3,23850.2,24340.0,23451.4,221.66,-0.32
2022-07-30,23634.2,23774.2,24605.3,23521.8,168.72,-0.59
2022-07-31,23303.4,23634.2,24179.3,23236.2,138.84,-1.4
2022-08-01,23271.2,23303.4,23484.4,22863.8,162.33,-0.14
2022-08-02,22988.6,23271.1,23423.3,22670.8,177.3,-1.21
2022-08-03,22820.8,22988.7,23623.7,22698.6,174.66,-0.73
2022-08-04,22612.1,22822.2,23214.5,22438.7,181.19,-0.91
2022-08-05,23308.2,22613.3,23447.6,22593.5,208.9,3.08
2022-08-06,22944.2,23308.2,23344.4,22923.6,94.44,-1.56
2022-08-07,23175.3,22944.2,23387.7,22852.3,99.36,1.01
2022-08-08,23816.3,23175.3,24234.1,23160.6,197.94,2.77
2022-08-09,23146.7,23818.1,23912.0,22886.5,169.62,-2.81
2022-08-10,23962.9,23150.3,24209.9,22714.7,243.61,3.53
2022-08-11,23935.3,23963.3,24873.5,23864.0,285.36,-0.12
2022-08-12,24398.7,23935.3,24440.8,23616.4,194.96,1.94
2022-08-13,24442.5,24398.9,24882.9,24318.7,170.59,0.18
2022-08-14,24302.8,24442.1,24997.3,24172.2,177.25,-0.57
2022-08-15,24101.7,24303.3,25205.7,23784.5,279.28,-0.83
2022-08-16,23856.8,24102.6,24240.8,23693.8,201.7,-1.02
2022-08-17,23338.0,23855.8,24423.5,23191.6,239.53,-2.17
2022-08-18,23203.6,23337.7,23578.0,23131.3,160.97,-0.58
2022-08-19,20831.3,23201.6,23202.3,20807.8,339.47,-10.22
2022-08-20,21138.9,20830.7,21357.4,20784.8,206.94,1.48
2022-08-21,21517.2,21138.9,21692.4,21077.4,177.52,1.79
2022-08-22,21416.3,21516.8,21517.4,20912.1,251.83,-0.47
2022-08-23,21517.2,21416.5,21661.0,20919.6,228.65,0.47
2022-08-24,21365.2,21516.2,21832.3,21171.1,202.4,-0.71
2022-08-25,21565.4,21365.4,21801.2,21324.8,190.15,0.94
2022-08-26,20249.9,21564.2,21815.3,20122.4,322.16,-6.1
2022-08-27,20033.9,20249.9,20343.6,19849.8,187.34,-1.07
2022-08-28,19550.2,20034.2,20150.8,19542.9,159.6,-2.41
2022-08-29,20295.8,19551.3,20394.5,19551.2,248.04,3.81
2022-08-30,19792.6,20295.6,20558.2,19559.7,308.41,-2.48
2022-08-31,20043.9,19793.4,20469.1,19793.4,318.17,1.27
2022-09-01,20126.1,20049.9,20202.7,19584.4,275.08,0.41
2022-09-02,19952.7,20131.6,20428.2,19764.7,272.22,-0.86
2022-09-03,19831.4,19952.8,20043.8,19660.7,157.85,-0.61
2022-09-04,19999.9,19832.2,20017.8,19594.7,158.27,0.85
2022-09-05,19793.1,19999.9,20042.9,19650.7,238.71,-1.03
2022-09-06,18786.4,19793.4,20169.3,18723.3,402.43,-5.09
2022-09-07,19281.5,18786.3,19445.9,18548.4,319.1,2.64
2022-09-08,19317.4,19281.5,19444.7,19034.5,291.43,0.19
2022-09-09,21365.2,19318.8,21545.7,19294.1,480.37,10.6
2022-09-10,21650.4,21363.8,21790.6,21139.9,331.12,1.33
2022-09-11,21834.9,21650.4,21836.4,21363.0,297.12,0.85
2022-09-12,22395.3,21836.6,22465.4,21581.6,431.98,2.57
2022-09-13,20175.5,22395.3,22702.5,19909.6,485.32,-9.91
2022-09-14,20222.5,20175.5,20503.7,19654.2,374.22,0.23
2022-09-15,19701.7,20222.3,20321.4,19532.3,358.42,-2.58
2022-09-16,19802.4,19701.9,19883.0,19352.9,315.59,0.51
2022-09-17,20113.5,19802.8,20178.6,19761.0,204.58,1.57
2022-09-18,19418.8,20113.9,20113.9,19347.7,273.11,-3.45
2022-09-19,19538.9,19417.4,19666.6,18277.8,423.43,0.62
2022-09-20,18872.4,19538.9,19626.3,18742.6,361.18,-3.41
2022-09-21,18489.0,18875.1,19758.4,18191.8,446.85,-2.03
2022-09-22,19404.0,18488.1,19490.9,18371.0,448.63,4.95
2022-09-23,19293.5,19404.1,19477.3,18554.8,431.15,-0.57
2022-09-24,18925.2,19288.4,19310.6,18812.0,258.5,-1.91
2022-09-25,18803.2,18925.1,19125.1,18659.6,209.71,-0.64
2022-09-26,19225.7,18803.1,19304.8,18695.2,516.03,2.25
2022-09-27,19081.0,19228.8,20361.2,18850.4,660.12,-0.75
2022-09-28,19411.0,19083.4,19757.8,18505.3,581.19,1.73
2022-09-29,19593.0,19420.2,19631.5,18877.9,449.57,0.94
2022-09-30,19423.0,19593.4,20174.9,19208.9,490.29,-0.87
2022-10-01,19311.9,19422.9,19480.3,19172.6,173.91,-0.57
2022-10-02,19052.2,19311.9,19389.9,18937.3,222.82,-1.34
2022-10-03,19628.3,19057.6,19676.0,19001.3,333.03,3.02
2022-10-04,20340.2,19629.7,20436.1,19506.4,368.17,3.63
2022-10-05,20157.5,20340.5,20353.8,19761.7,352.76,-0.9
2022-10-06,19956.7,20157.5,20436.7,19873.7,370.6,-1.0
2022-10-07,19531.3,19962.4,20051.4,19352.1,263.5,-2.13
2022-10-08,19415.0,19530.2,19612.2,19274.7,113.5,-0.6
2022-10-09,19441.0,19416.3,19552.1,19329.6,127.53,0.13
2022-10-10,19134.6,19441.7,19520.7,19057.0,243.77,-1.58
2022-10-11,19059.1,19134.3,19261.3,18868.7,288.57,-0.39
2022-10-12,19154.8,19058.5,19212.6,19010.6,242.18,0.5
2022-10-13,19379.8,19154.6,19494.4,18207.9,455.13,1.17
2022-10-14,19181.8,19379.8,19933.9,19098.6,400.45,-1.02
2022-10-15,19068.7,19181.7,19218.7,19000.8,123.66,-0.59
2022-10-16,19261.9,19068.8,19411.9,19066.0,140.95,1.01
2022-10-17,19548.2,19262.2,19663.5,19163.6,248.4,1.49
2022-10-18,19328.2,19548.4,19692.9,19102.8,290.07,-1.13
2022-10-19,19123.9,19328.2,19358.6,19101.2,209.28,-1.06
2022-10-20,19042.9,19125.1,19334.5,18935.6,253.2,-0.42
2022-10-21,19162.6,19042.9,19245.5,18703.3,294.66,0.63
2022-10-22,19204.8,19162.6,19249.9,19116.1,118.24,0.22
2022-10-23,19571.2,19204.8,19680.9,19092.5,180.63,1.91
2022-10-24,19331.5,19571.2,19588.6,19177.2,286.94,-1.22
2022-10-25,20082.7,19331.8,20406.9,19249.0,371.54,3.89
2022-10-26,20769.5,20086.8,20981.5,20062.9,427.99,3.42
2022-10-27,20292.9,20769.5,20867.9,20231.6,365.49,-2.29
2022-10-28,20594.4,20293.0,20744.0,20058.2,318.9,1.49
2022-10-29,20809.8,20594.2,21038.1,20561.9,276.54,1.05
2022-10-30,20626.3,20809.4,20922.3,20522.5,207.63,-0.88
2022-10-31,20496.3,20626.0,20822.4,20260.0,327.47,-0.63
2022-11-01,20483.5,20496.1,20676.6,20348.1,302.72,-0.06
2022-11-02,20154.4,20482.9,20778.3,20065.8,420.23,-1.61
2022-11-03,20206.4,20154.0,20384.5,20066.6,347.23,0.26
2022-11-04,21145.9,20206.4,21281.9,20184.6,499.5,4.65
2022-11-05,21301.6,21145.7,21464.7,21084.1,261.23,0.74
2022-11-06,20916.3,21298.7,21360.4,20901.0,242.26,-1.81
2022-11-07,20589.0,20916.3,21055.4,20410.5,414.24,-1.56
2022-11-08,18527.4,20589.0,20667.5,17260.0,865.1,-10.01
2022-11-09,15886.9,18538.9,18583.8,15603.3,869.57,-14.25
2022-11-10,17589.1,15887.0,18138.2,15799.3,720.74,10.71
2022-11-11,17049.9,17589.1,17679.4,16435.5,466.35,-3.07
2022-11-12,16795.2,17049.9,17100.8,16633.9,192.91,-1.49
2022-11-13,16324.5,16803.9,16946.5,16274.9,210.8,-2.8
2022-11-14,16613.7,16325.0,17158.4,15834.0,442.46,1.77
2022-11-15,16895.1,16615.0,17112.0,16543.9,337.15,1.69
2022-11-16,16540.5,16895.4,16993.4,16408.2,295.73,-2.1
2022-11-17,16691.2,16540.5,16739.7,16425.8,257.0,0.91
2022-11-18,16638.3,16715.4,16846.3,16553.0,241.96,-0.32
2022-11-19,16699.2,16652.2,16814.9,16608.9,114.89,0.37
2022-11-20,16286.7,16699.3,16749.3,16209.2,172.83,-2.47
2022-11-21,15776.2,16278.6,16287.9,15504.2,372.15,-3.13
2022-11-22,16212.9,15776.6,16274.6,15620.4,287.21,2.77
2022-11-23,16623.9,16216.9,16677.6,16162.3,305.08,2.53
2022-11-24,16601.2,16604.9,16785.6,16472.0,229.59,-0.14
2022-11-25,16512.3,16600.6,16611.8,16360.9,204.07,-0.54
2022-11-26,16456.5,16512.3,16686.3,16387.9,194.94,-0.34
2022-11-27,16425.6,16456.4,16595.4,16414.6,173.25,-0.19
2022-11-28,16211.7,16426.1,16481.4,16013.5,284.84,-1.3
2022-11-29,16440.4,16211.9,16531.4,16100.1,271.58,1.41
2022-11-30,17163.9,16440.8,17215.5,16433.2,348.22,4.4
2022-12-01,16972.0,17163.4,17244.7,16868.9,266.14,-1.12
2022-12-02,17093.6,16972.2,17096.2,16799.9,227.01,0.72
2022-12-03,16884.5,17093.4,17132.6,16862.1,169.29,-1.22
2022-12-04,17112.6,16884.8,17198.1,16881.6,197.12,1.35
2022-12-05,16966.5,17106.9,17395.2,16886.9,268.72,-0.85
2022-12-06,17089.3,16966.3,17101.1,16914.9,246.19,0.72
2022-12-07,16835.2,17089.4,17126.7,16715.3,244.36,-1.49
2022-12-08,17225.7,16835.2,17294.2,16765.8,261.64,2.32
2022-12-09,17125.7,17225.6,17288.6,17082.1,260.84,-0.58
2022-12-10,17127.2,17125.7,17220.5,17105.7,148.81,0.01
2022-12-11,17093.3,17127.0,17262.9,17080.6,167.2,-0.2
2022-12-12,17210.4,17093.2,17232.5,16878.5,249.39,0.68
2022-12-13,17778.6,17210.9,17951.6,17094.5,328.71,3.3
2022-12-14,17796.4,17778.6,18351.8,17682.1,318.98,0.1
2022-12-15,17356.1,17796.4,17846.1,17298.2,263.44,-2.47
2022-12-16,16629.6,17356.7,17518.5,16542.4,303.56,-4.19
2022-12-17,16777.1,16629.0,16794.4,16587.0,164.49,0.89
2022-12-18,16741.1,16777.0,16825.7,16666.5,124.29,-0.21
2022-12-19,16441.3,16741.1,16809.5,16331.2,207.93,-1.79
2022-12-20,16902.8,16441.3,17031.3,16400.7,284.57,2.81
2022-12-21,16831.8,16902.7,16919.4,16735.0,174.34,-0.42
2022-12-22,16820.6,16831.8,16862.2,16566.1,198.28,-0.07
2022-12-23,16779.1,16820.5,16910.7,16768.0,184.12,-0.25
2022-12-24,16837.2,16778.6,16855.8,16777.8,110.12,0.35
2022-12-25,16831.8,16835.7,16852.9,16733.0,132.89,-0.03
2022-12-26,16918.1,16831.8,16936.1,16799.4,133.36,0.51
